# Biosample	Assay
DND-41	ChIP-seq MAX
thyroid gland female adult (53 years)	ChIP-seq MAZ
mesenchymal stem cell of the bone marrow	ChIP-seq USF1
HEK293	ChIP-seq H3K79me1
A172	ChIP-seq H4K91ac
IMR-90 nuclear fraction	ChIP-seq MAFK
HUES6	ChIP-seq H3K18ac
foreskin fibroblast male newborn	ChIP-seq H4K91ac
Peyer's patch male adult (37 years)	ChIP-seq NRF1
right lobe of liver female adult (53 years)	polyA RNA-seq
SK-MEL-5	ChIP-seq TAF1
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq H3K14ac
BJ	ChIP-seq H3K23ac
heart right ventricle male adult (34 years)	ChIP-seq H3K23ac
heart left ventricle female adult (53 years)	ChIP-seq H2BK5ac
neural stem progenitor cell originated from H1-hESC	ChIP-seq REST
subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	ChIP-seq JUND
iPS-20b male adult (55 years)	ChIP-seq H4K8ac
chorion female embryo (40 weeks)	ChIP-seq TBP
iPS-15b female adult (48 years)	ChIP-seq BHLHE40
esophagus muscularis mucosa male adult (37 years)	ChIP-seq H3K79me1
Peyer's patch female adult (53 years)	ChIP-seq YY1
stomach male adult (54 years)	ChIP-seq YY1
muscle layer of colon female adult (56 years)	ChIP-seq TCF12
esophagus female adult (30 years)	ChIP-seq GTF2F1
mesenchymal stem cell of Wharton's jelly	ChIP-seq H4K91ac
endothelial cell of umbilical vein male newborn	ChIP-seq SP1
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq H4K8ac
subcutaneous adipose tissue female adult (51 year)	polyA depleted RNA-seq
lower leg skin female adult (51 year)	ChIP-seq EZH2phosphoT487
CD8-positive, alpha-beta T cell	ChIP-seq MAZ
pancreas male adult (34 years)	ChIP-seq TARDBP
transverse colon male adult (37 years)	ChIP-seq ETS1
placental basal plate male embryo (38 weeks)	ChIP-seq MAX
gastrocnemius medialis male adult (54 years)	ChIP-seq ELF1
muscle layer of duodenum male adult (73 years)	ChIP-seq ELF1
heart left ventricle male adult (34 years)	DNase-seq read-depth normalized signal
common myeloid progenitor, CD34-positive	polyA RNA-seq
substantia nigra male adult (81 year)	ChIP-seq EZH2phosphoT487
BJ	microRNA-seq
hematopoietic multipotent progenitor cell	ChIP-seq HDAC2
SK-N-DZ nuclear fraction	ChIP-seq CTCF
HT1080 nuclear fraction	polyA depleted RNA-seq
Daoy	ChIP-seq H3K14ac
HT1080	ChIP-seq MAFK
SK-N-MC	RAMPAGE
thymus male child (3 years)	ChIP-seq ZFP36
spleen female adult (30 years)	ChIP-seq H3K36me3
NT2/D1	ChIP-seq ELF1
Peyer's patch female adult (53 years)	ChIP-seq H3K9ac
placenta male embryo (16 weeks)	ChIP-seq RCOR1
germinal matrix male embryo (20 weeks)	total RNA-seq
right cardiac atrium male adult (34 years)	ChIP-seq TBP
lower leg skin female adult (53 years)	ChIP-seq H4K8ac
Daoy	ChIP-seq RFX5
mammary epithelial cell female adult (18 years)	ChIP-seq H3K79me1
sigmoid colon male adult (34 years)	ChIP-seq SP1
M059J	ChIP-seq ELK1
osteoblast female adult (56 years) and male adult (62 years)	total RNA-seq
ectodermal cell originated from embryonic stem cell	DNase-seq read-depth normalized signal
Panc1	DNase-seq read-depth normalized signal
esophagus squamous epithelium male adult (37 years)	ChIP-seq H3K14ac
liver female child (4 years)	ChIP-seq H4K8ac
upper lobe of left lung female adult (51 year)	ChIP-seq TCF12
smooth muscle cell originated from H9	ChIP-seq H3K18ac
endocrine pancreas male adult (45 years)	ChIP-seq H2AFZ
PC-9	ChIP-seq MAX
skeletal muscle myoblast	ChIP-seq GTF2F1
MCF-7 cytosolic fraction	ChIP-seq ELK1
neurosphere female embryo (17 weeks) originated from ganglionic eminence	polyA depleted RNA-seq
sigmoid colon female adult (53 years)	ChIP-seq USF2
skeletal muscle myoblast male adult (22 years)	ChIP-seq H3K79me2
cardiac muscle cell	ChIP-seq EZH2
breast epithelium female adult (53 years)	ChIP-seq H2BK120ac
adrenal gland male adult (34 years)	ChIP-seq NRF1
K562 nucleolus fraction	ChIP-seq YY1
trophoblast female embryo (20 weeks)	ChIP-seq H3K4me3
sigmoid colon male adult (37 years)	ChIP-seq TAF1
K562 nuclear fraction	ChIP-seq ELF1
Loucy	total RNA-seq
duodenal mucosa male adult (59 years)	ChIP-seq H3K9ac
testis male adult (37 years)	ChIP-seq H3K36me3
placenta female embryo (113 days)	ChIP-seq USF2
neuron originated from H9	ChIP-seq MAZ
H1-hESC cytosolic fraction	ChIP-seq H3K36me3
IMR-90 nuclear fraction	total RNA-seq
thoracic aorta male adult (37 years)	ChIP-seq H3K23ac
skeletal muscle myoblast	ChIP-seq ATF3
osteoblast	ChIP-seq SP1
ascending aorta female adult (53 years)	ChIP-seq ZFP36
sigmoid colon male adult (54 years)	microRNA-seq
caudate nucleus female adult (75 years)	ChIP-seq GTF2F1
IMR-90	ChIP-seq REST
stomach male adult (34 years)	ChIP-seq RFX5
uterus female adult (53 years)	ChIP-seq EGR1
H9 genetically modified using stable transfection	ChIP-seq H3K27me3
LHCN-M2	ChIP-seq EZH2phosphoT487
gastrocnemius medialis female adult (53 years)	ChIP-seq TARDBP
right atrium auricular region female adult (51 year)	ChIP-seq ETS1
colonic mucosa female adult (56 years)	ChIP-seq TAF1
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq RFX5
heart left ventricle female adult (53 years)	ChIP-seq RCOR1
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq H4K8ac
hematopoietic multipotent progenitor cell	ChIP-seq EZH2phosphoT487
OCI-LY3	DNase-seq read-depth normalized signal
HeLa-S3	ChIP-seq TARDBP
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq USF2
IMR-90 cytosolic fraction	ChIP-seq SP1
foreskin keratinocyte male newborn	ChIP-seq MAX
naive thymus-derived CD4-positive, alpha-beta T cell	ChIP-seq NRF1
stomach smooth muscle female adult (84 years)	ChIP-seq RXRA
tibial nerve male adult (37 years)	ChIP-seq H2BK120ac
esophagus male adult (34 years)	ChIP-seq BHLHE40
astrocyte	ChIP-seq JUND
uterus female embryo (24 weeks) and female embryo (28 weeks)	ChIP-seq MAX
IMR-90 cytosolic fraction	ChIP-seq JUND
Peyer's patch female adult (53 years)	ChIP-seq EGR1
upper lobe of left lung male adult (37 years)	ChIP-seq H3K27ac
trophoblast cell originated from H1-hESC	ChIP-seq RXRA
transverse colon female adult (53 years)	ChIP-seq H4K91ac
chorion female embryo (40 weeks)	ChIP-seq H3K4me2
iPS-20b male adult (55 years)	RAMPAGE
RPMI-7951	ChIP-seq HDAC2
heart right ventricle male adult (34 years)	ChIP-seq H4K91ac
AG04450	ChIP-seq H3K14ac
A549	ChIP-seq H3K14ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq H3K4me3
thymus female embryo (110 days)	ChIP-seq REST
A673	ChIP-seq H3K4me2
stomach female embryo (96 days)	ChIP-seq RAD21
stomach smooth muscle female adult (84 years)	RAMPAGE
K562 nucleolus fraction	ChIP-seq RAD21
psoas muscle male adult (34 years)	ChIP-seq SP1
breast epithelium female adult (53 years)	ChIP-seq CHD2
muscle of leg female embryo (110 days)	ChIP-seq ELF1
pancreas female adult (30 years)	ChIP-seq H3K9ac
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq SIN3A
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq H3K27ac
heart female embryo (19 weeks) and female embryo (28 weeks)	ChIP-seq H3K79me2
gastroesophageal sphincter female adult (51 year)	ChIP-seq EGR1
UCSF-4	ChIP-seq ZFP36
IMR-90 nuclear fraction	ChIP-seq GABPA
skeletal muscle tissue female adult (72 years)	ATAC-seq
muscle layer of colon female adult (56 years)	ChIP-seq NRF1
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq H3K4ac
esophagus muscularis mucosa male adult (54 years)	ChIP-seq ZFP36
muscle layer of duodenum male adult (59 years)	ChIP-seq H3K4me2
transverse colon female adult (51 year)	ChIP-seq EZH2
stomach smooth muscle female adult (84 years)	ChIP-seq H3K18ac
omental fat pad male adult (37 years)	ChIP-seq H3K27ac
middle frontal area 46 male adult (81 year)	ChIP-seq YY1
transverse colon male adult (54 years)	ChIP-seq H3K4me2
IMR-90	ChIP-seq ELK1
prostate gland male adult (37 years)	ChIP-seq RXRA
subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	ChIP-seq HDAC2
placental basal plate female embryo (40 weeks)	ChIP-seq H3K36me3
SK-N-SH	polyA RNA-seq
spleen male adult (54 years)	ChIP-seq GTF2F1
muscle of trunk female embryo (115 days)	ChIP-seq ETS1
thymus male child (3 years)	ChIP-seq H3F3A
osteoblast female adult (56 years) and male adult (62 years)	ChIP-seq MAFK
RPMI-7951	ChIP-seq H3K27ac
GM23248	ChIP-seq CEBPB
keratinocyte cytosolic fraction female	ChIP-seq H3K9ac
neutrophil male	total RNA-seq
muscle of trunk female embryo (115 days)	RAMPAGE
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K36me3
gastrocnemius medialis male adult (37 years)	ChIP-seq H3K9ac
M059J	ChIP-seq REST
fibroblast of villous mesenchyme female newborn and male newborn	ChIP-seq TARDBP
naive thymus-derived CD4-positive, alpha-beta T cell	ChIP-seq TCF12
Panc1	ChIP-seq H4K20me1
stomach smooth muscle male adult (59 years)	ChIP-seq H2BK12ac
transverse colon male adult (54 years)	ChIP-seq TBP
common myeloid progenitor, CD34-positive female adult (33 years)	ChIP-seq MAX
hepatocyte originated from H9	ChIP-seq BHLHE40
mesendoderm originated from H1-hESC	ChIP-seq POLR2A
psoas muscle male child (3 years)	ChIP-seq RAD21
adrenal gland female adult (53 years)	ChIP-seq NRF1
gastroesophageal sphincter male adult (54 years)	ChIP-seq H2BK120ac
kidney male adult (67 years)	ChIP-seq ELF1
B cell male adult (37 years)	ChIP-seq H3K36me3
SK-MEL-5 nuclear fraction	ChIP-seq POLR2AphosphoS5
muscle layer of colon female adult (77 years)	ChIP-seq ETS1
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq H3K23ac
lung female embryo (120 days)	DNase-seq read-depth normalized signal
trophoblast female embryo (40 weeks)	DNase-seq read-depth normalized signal
liver male adult (78 years)	ChIP-seq BHLHE40
mesendoderm originated from H1-hESC	ChIP-seq USF1
subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	polyA RNA-seq
Parathyroid adenoma male adult (62 years)	ChIP-seq TAF1
mesodermal cell originated from HUES64	total RNA-seq
placental pericyte female newborn and male newborn	ChIP-seq MAZ
skeletal muscle myoblast male adult (22 years)	ChIP-seq POLR2AphosphoS5
mucosa of rectum female adult (50 years)	ChIP-seq TARDBP
stomach female embryo (96 days)	ChIP-seq H3K9ac
GM12878 cytosolic fraction	ChIP-seq H3K36me3
subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	ChIP-seq SMC3
transverse colon female adult (53 years)	ChIP-seq EZH2
mesenchymal stem cell of adipose	ChIP-seq USF2
GM12878 cytosolic fraction	ATAC-seq
trophoblast cell originated from H1-hESC	ChIP-seq H4K8ac
neural cell	ChIP-seq MAZ
rectal smooth muscle tissue female adult (50 years)	ChIP-seq REST
iPS-20b male adult (55 years)	ChIP-seq H3K18ac
middle frontal area 46 female adult (75 years)	ChIP-seq TAF1
body of pancreas female adult (51 year)	ChIP-seq H3K18ac
prostate gland male adult (37 years)	RAMPAGE
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq H3K36me3
mucosa of rectum female adult (50 years)	ChIP-seq MAX
liver male adult (32 years)	DNase-seq read-depth normalized signal
placental pericyte female newborn and male newborn	ChIP-seq BHLHE40
adrenal gland male embryo (97 days)	ChIP-seq SIN3A
suprapubic skin female adult (51 year)	polyA RNA-seq
breast epithelium female adult (51 year)	ChIP-seq EZH2
transverse colon male adult (54 years)	ChIP-seq BHLHE40
mesenchymal stem cell originated from H1-hESC	ChIP-seq MAZ
vagina female adult (53 years)	ChIP-seq H3K9me3
sigmoid colon male adult (37 years)	total RNA-seq
ascending aorta female adult (53 years)	ChIP-seq REST
HepG2 nuclear fraction	ChIP-seq YY1
mesodermal cell originated from HUES64	ChIP-seq GABPA
endothelial cell of umbilical vein cytosolic fraction male newborn	ChIP-seq USF2
subcutaneous adipose tissue male adult (37 years)	ChIP-seq SMC3
HepG2 nuclear fraction	ChIP-seq H3K9ac
omental fat pad male adult (54 years)	ChIP-seq H4K8ac
mesenchymal stem cell of adipose	ChIP-seq POLR2AphosphoS5
Peyer's patch male adult (54 years)	ChIP-seq SIN3A
stomach female adult (51 year)	ChIP-seq H4K8ac
esophagus squamous epithelium female adult (53 years)	ChIP-seq ELF1
hematopoietic multipotent progenitor cell	ChIP-seq SMC3
substantia nigra female adult (75 years)	ChIP-seq ELK1
epithelial cell of proximal tubule	ChIP-seq RFX5
brain female embryo (17 weeks)	ChIP-seq CHD2
mesenchymal stem cell of the bone marrow	ChIP-seq H3K79me1
iPS-15b female adult (48 years)	ChIP-seq TBP
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq ELF1
neutrophil male	ChIP-seq TAF1
CD4-positive, alpha-beta T cell	ChIP-seq RAD21
heart left ventricle male child (3 years)	polyA RNA-seq
CD4-positive, CD25-positive, alpha-beta regulatory T cell	ChIP-seq H3K23ac
right lobe of liver female adult (53 years)	ChIP-seq H3K27ac
B cell male adult (21 year)	ChIP-seq SIN3A
CD8-positive, alpha-beta T cell	ChIP-seq TBP
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq H4K91ac
placental pericyte female newborn and male newborn	ChIP-seq H3K4me2
large intestine male embryo (108 days)	ChIP-seq REST
LHCN-M2	ChIP-seq H3K27ac
common myeloid progenitor, CD34-positive male adult (42 years)	ChIP-seq H4K8ac
chorion male embryo (16 weeks)	ChIP-seq USF1
suprapubic skin female adult (53 years)	total RNA-seq
ovary female adult (51 year)	polyA depleted RNA-seq
substantia nigra female adult (75 years)	ChIP-seq H3K9me3
vein endothelial cell male adult (48 years) and male adult (52 years)	ChIP-seq MAFK
esophagus male adult (34 years)	ChIP-seq H3K4me2
muscle layer of duodenum male adult (73 years)	ChIP-seq RCOR1
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H2BK12ac
SK-MEL-5	total RNA-seq
ACC112	RAMPAGE
esophagus muscularis mucosa female adult (51 year)	ChIP-seq GABPA
SK-MEL-5	ChIP-seq GABPA
thoracic aorta male adult (54 years)	ChIP-seq H3K9ac
stomach female adult (53 years)	ChIP-seq REST
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq H3K4me3
sigmoid colon female adult (51 year)	ChIP-seq MAFK
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H3K14ac
lung female adult (30 years)	ChIP-seq CHD2
skeletal muscle satellite cell female adult originated from mesodermal cell	DNase-seq read-depth normalized signal
ACC112	ChIP-seq H4K8ac
endocrine pancreas male adult (45 years)	ChIP-seq H3K4me2
lower leg skin female adult (53 years)	RAMPAGE
tibial nerve male adult (37 years)	ChIP-seq POLR2A
chorion male embryo (16 weeks)	ChIP-seq H3K79me1
heart left ventricle female adult (51 year)	ChIP-seq NRF1
A549 treated with 100 nM dexamethasone for 1 hour	ChIP-seq H2AK5ac
stomach female embryo (96 days)	ChIP-seq YY1
RPMI-7951	ChIP-seq SMC3
substantia nigra male adult (81 year)	ChIP-seq HDAC2
gastroesophageal sphincter female adult (51 year)	ChIP-seq H3K9ac
luminal epithelial cell of mammary gland female adult (33 years)	ChIP-seq H2AFZ
skeletal muscle tissue male adult (54 years)	ChIP-seq CTCF
MM.1S	ChIP-seq RFX5
upper lobe of left lung female adult (51 year)	ChIP-seq CEBPB
PC-3	polyA RNA-seq
GM23248	ChIP-seq H3K4me3
foreskin fibroblast male newborn	ChIP-seq SIN3A
gastroesophageal sphincter female adult (53 years)	ChIP-seq H2BK5ac
gastroesophageal sphincter female adult (51 year)	ChIP-seq H2BK15ac
thyroid gland male adult (37 years)	ChIP-seq CHD2
prostate gland male adult (54 years)	ATAC-seq
germinal matrix male embryo (20 weeks)	ChIP-seq H3K4ac
ACC112	ChIP-seq ETS1
K562 cytosolic fraction	ChIP-seq CTCF
temporal lobe male adult (81 year)	ChIP-seq USF1
upper lobe of left lung male adult (37 years)	polyA RNA-seq
HepG2	ChIP-seq ELF1
mesodermal cell originated from HUES64	ChIP-seq TAF1
NT2/D1	ChIP-seq ZBTB33
testis male adult (54 years)	ChIP-seq USF1
chorionic villus male embryo (38 weeks)	ChIP-seq CTCF
gastrocnemius medialis female adult (51 year)	ChIP-seq SP1
adrenal gland male adult (54 years)	ChIP-seq H2AFZ
peripheral blood mononuclear cell male adult (39 years)	total RNA-seq
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq H4K91ac
gastrocnemius medialis male adult (37 years)	ChIP-seq RAD21
common myeloid progenitor, CD34-positive	ChIP-seq SMC3
MCF-7 cytosolic fraction	ChIP-seq REST
K562	ChIP-seq H3K18ac
sigmoid colon male adult (54 years)	ChIP-seq SIN3A
body of pancreas female adult (51 year)	ChIP-seq ETS1
layer of hippocampus male adult (81 year)	ChIP-seq H4K91ac
right lobe of liver female adult (53 years)	ChIP-seq HDAC2
kidney male adult (50 years)	ChIP-seq YY1
amnion male embryo (16 weeks)	CAGE
sigmoid colon female adult (51 year)	ChIP-seq TAF1
mammary epithelial cell female adult (50 years)	RAMPAGE
HeLa-S3	ChIP-seq GTF2F1
angular gyrus female adult (75 years)	ChIP-seq TARDBP
A549 cytosolic fraction	ChIP-seq REST
stomach female adult (51 year)	RAMPAGE
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq RAD21
body of pancreas male adult (54 years)	ChIP-seq CHD2
sigmoid colon male adult (54 years)	ChIP-seq H4K91ac
middle frontal area 46 male adult (81 year)	ChIP-seq EGR1
CD8-positive, alpha-beta memory T cell	ChIP-seq MAX
body of pancreas female adult (51 year)	RAMPAGE
muscle of trunk female embryo (115 days)	ChIP-seq H4K8ac
mammary epithelial cell female	ChIP-seq ELF1
ascending aorta female adult (53 years)	ChIP-seq H3F3A
muscle layer of duodenum male adult (59 years)	ChIP-seq MAZ
neutrophil male	CAGE
thyroid gland female embryo (37 weeks) and female embryo (40 weeks)	ChIP-seq NRF1
cingulate gyrus female adult (75 years)	ChIP-seq ELF1
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq TAF1
placental basal plate female embryo (40 weeks)	ATAC-seq
layer of hippocampus female adult (75 years)	ChIP-seq EZH2
right atrium auricular region female adult (51 year)	ChIP-seq H4K8ac
ascending aorta female adult (53 years)	ChIP-seq ELK1
layer of hippocampus male adult (73 years)	ChIP-seq MAZ
body of pancreas male adult (37 years)	ChIP-seq NRF1
subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	ChIP-seq H3K27ac
subcutaneous adipose tissue male adult (37 years)	polyA RNA-seq
tibial artery female adult (53 years)	ChIP-seq H3K4me3
gastrocnemius medialis female adult (53 years)	ChIP-seq MAX
small intestine male child (3 years)	ChIP-seq H4K8ac
NCI-H460 cytosolic fraction	ChIP-seq ELK1
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq EZH2
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H3K4me3
gastroesophageal sphincter female adult (51 year)	ChIP-seq RAD21
colonic mucosa female adult (56 years)	CAGE
LHCN-M2	ChIP-seq HDAC2
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq H3K18ac
caudate nucleus female adult (75 years)	ChIP-seq MAX
temporal lobe male adult (81 year)	ChIP-seq H2BK120ac
lower leg skin female adult (53 years)	ChIP-seq RXRA
stomach male adult (54 years)	ChIP-seq RAD21
heart left ventricle male child (3 years)	ChIP-seq SMC3
spleen male adult (37 years)	ChIP-seq H3K9ac
esophagus muscularis mucosa male adult (37 years)	ChIP-seq USF1
AG04450	DNase-seq read-depth normalized signal
GM23338 male adult (53 years) originated from GM23248	ChIP-seq CTCF
caudate nucleus male adult (81 year)	ChIP-seq H2BK15ac
temporal lobe male adult (81 year)	ChIP-seq POLR2A
K562	RAMPAGE
temporal lobe male adult (81 year)	ChIP-seq H3K79me1
A375	ChIP-seq BHLHE40
neural stem progenitor cell originated from H9	ChIP-seq SIN3A
peripheral blood mononuclear cell male adult (39 years)	CAGE
tibial nerve female adult (53 years)	ChIP-seq RCOR1
BJ	ChIP-seq SIN3A
CD4-positive, alpha-beta memory T cell	ChIP-seq CTCF
gastroesophageal sphincter female adult (53 years)	ChIP-seq ELF1
HT1080	CAGE
NCI-H460 nuclear fraction	ChIP-seq CHD2
chorion male embryo (16 weeks)	ChIP-seq CHD2
kidney male adult (50 years)	ChIP-seq RAD21
H1-hESC cytosolic fraction	ChIP-seq SUZ12
skeletal muscle tissue	ChIP-seq SUZ12
colonic mucosa female adult (73 years)	polyA RNA-seq
HT-29	ChIP-seq H3K18ac
esophagus muscularis mucosa male adult (37 years)	ChIP-seq H2BK120ac
stomach smooth muscle male adult (59 years)	ChIP-seq CTCF
omental fat pad female adult (51 year)	ChIP-seq CHD2
CD8-positive, alpha-beta T cell	ChIP-seq H3K4me2
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	RAMPAGE
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq RAD21
small intestine male child (3 years)	RAMPAGE
chorion male embryo (16 weeks)	ChIP-seq POLR2A
liver female child (4 years)	RAMPAGE
endothelial cell of umbilical vein cytosolic fraction male newborn	ChIP-seq H3K79me2
stomach male adult (54 years)	ChIP-seq H3K9ac
iPS-20b male adult (55 years)	ChIP-seq ETS1
chorionic villus male embryo (16 weeks)	ChIP-seq REST
layer of hippocampus female adult (75 years)	ChIP-seq H4K91ac
lung female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq CTCF
chorionic villus female embryo (40 weeks)	ChIP-seq ZFP36
placental epithelial cell female newborn and male newborn	DNase-seq read-depth normalized signal
CD4-positive, alpha-beta T cell	ChIP-seq H3K9ac
osteoblast female adult (56 years) and male adult (62 years)	ChIP-seq TAF1
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq SIN3A
neurosphere female embryo (17 weeks) originated from cortex	ATAC-seq
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq POLR2AphosphoS5
pancreas female adult (30 years)	ChIP-seq RAD21
vein endothelial cell male adult (48 years) and male adult (52 years)	ChIP-seq GABPA
esophagus muscularis mucosa male adult (37 years)	ChIP-seq POLR2A
layer of hippocampus male adult (73 years)	ChIP-seq BHLHE40
mucosa of rectum female adult (61 year)	ChIP-seq SMC3
layer of hippocampus male adult (73 years)	ChIP-seq TBP
MCF-7	ChIP-seq H3K36me3
tibial nerve female adult (53 years)	ChIP-seq ELF1
sigmoid colon male child (3 years)	ChIP-seq CTCF
transverse colon male adult (37 years)	ChIP-seq H4K8ac
fibroblast of dermis	ChIP-seq CHD2
small intestine male embryo (108 days)	ChIP-seq RAD21
lung male child (3 years)	ChIP-seq CTCF
pancreas male adult (34 years)	ChIP-seq GTF2F1
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq SMC3
angular gyrus male adult (81 year)	ChIP-seq TARDBP
H4	ATAC-seq
SK-N-SH cytosolic fraction	ChIP-seq H3K79me2
HEK293T	CAGE
upper lobe of left lung male adult (54 years)	ChIP-seq H3K9ac
heart female embryo (19 weeks) and female embryo (28 weeks)	ChIP-seq CTCF
chorionic villus male embryo (16 weeks)	ChIP-seq H3F3A
osteoblast	polyA depleted RNA-seq
CD8-positive, alpha-beta T cell	ChIP-seq BHLHE40
small intestine male adult (34 years)	ChIP-seq ELF1
IMR-90 nuclear fraction	ChIP-seq TAF1
omental fat pad male adult (54 years)	RAMPAGE
tongue female embryo (20 weeks) and female embryo (24 weeks)	ATAC-seq
mammary epithelial cell female adult (23 years)	total RNA-seq
colonic mucosa female adult (73 years)	ChIP-seq HDAC2
thoracic aorta male adult (54 years)	ChIP-seq RAD21
A172	ChIP-seq SIN3A
HT1080	ChIP-seq TAF1
sigmoid colon male adult (37 years)	ChIP-seq GABPA
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq SIN3A
esophagus squamous epithelium female adult (51 year)	ATAC-seq
HepG2 cytosolic fraction	ChIP-seq H3K4me3
mammary epithelial cell female adult (23 years)	ChIP-seq GABPA
substantia nigra male adult (81 year)	ChIP-seq SMC3
temporal lobe female adult (75 years)	ChIP-seq H2BK120ac
spleen female adult (53 years)	ChIP-seq RAD21
SJCRH30	ChIP-seq CTCF
suprapubic skin female adult (51 year)	ChIP-seq H3K27ac
spleen female adult (30 years)	ATAC-seq
layer of hippocampus male adult (81 year)	ChIP-seq H3K23ac
neural stem progenitor cell originated from H1-hESC	ChIP-seq ZFP36
CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H2BK5ac
GM12878 nuclear fraction	ChIP-seq H3K4me2
layer of hippocampus female adult (75 years)	ChIP-seq SIN3A
ascending aorta female adult (53 years)	ChIP-seq H3K9me3
HepG2 nuclear fraction	ChIP-seq RAD21
suprapubic skin male adult (37 years)	ChIP-seq RAD21
Peyer's patch male adult (37 years)	ChIP-seq H3K4me3
mammary stem cell	ChIP-seq SMC3
GM06990	ATAC-seq
gastroesophageal sphincter male adult (54 years)	ChIP-seq CHD2
SJSA1	ChIP-seq H3K36me3
uterus female adult (53 years)	ChIP-seq RAD21
middle frontal area 46 female adult (75 years)	ChIP-seq H3K4ac
transverse colon female adult (53 years)	ChIP-seq SIN3A
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq RAD21
OCI-LY7	ChIP-seq H4K8ac
suprapubic skin female adult (53 years)	CAGE
keratinocyte cytosolic fraction female	ChIP-seq RAD21
iPS-18a female adult (48 years)	ChIP-seq SIN3A
Parathyroid adenoma male adult (62 years)	CAGE
SK-N-DZ nuclear fraction	ChIP-seq H3K79me2
SJCRH30	ChIP-seq H3K79me2
tibial nerve female adult (51 year)	ChIP-seq TARDBP
muscle layer of colon female adult (56 years)	ChIP-seq H3K4me3
vein endothelial cell male adult (48 years) and male adult (52 years)	ChIP-seq H3K4ac
astrocyte	polyA depleted RNA-seq
H1-hESC cytosolic fraction	ATAC-seq
mucosa of stomach male adult (59 years)	ChIP-seq CTCF
duodenal mucosa male adult (76 years)	ATAC-seq
muscle layer of colon female adult (77 years)	ChIP-seq H4K8ac
sigmoid colon male adult (37 years)	ChIP-seq H3K4ac
cingulate gyrus male adult (81 year)	ChIP-seq ATF3
kidney epithelial cell	ATAC-seq
heart left ventricle female adult (51 year)	ChIP-seq H3K4me3
LHCN-M2	ChIP-seq SMC3
H1-hESC	ChIP-seq H3K4me2
prostate gland male adult (37 years)	ChIP-seq H4K8ac
tibial nerve female adult (51 year)	ChIP-seq MAX
tibial nerve male adult (37 years)	ChIP-seq USF1
peripheral blood mononuclear cell male adult (32 years)	DNase-seq read-depth normalized signal
lower leg skin female adult (51 year)	polyA RNA-seq
esophagus squamous epithelium male adult (37 years)	DNase-seq read-depth normalized signal
right lobe of liver female adult (53 years)	ChIP-seq SMC3
Loucy	CAGE
gastrocnemius medialis female adult (51 year)	polyA depleted RNA-seq
SJSA1	ATAC-seq
right atrium auricular region female adult (51 year)	RAMPAGE
stomach male adult (37 years)	ChIP-seq H3K4me3
thymus female embryo (110 days)	ChIP-seq ELK1
angular gyrus female adult (75 years)	ChIP-seq H3K4me1
